Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2017-08-22;107.58;107.50;107.58;107.56;250;26.891;
2017-08-21;;;109.05;;;;
2017-08-18;109.05;108.70;109.05;108.87;215;23.407;
2017-08-17;108.62;108.62;108.62;108.62;700;76.034;
2017-08-16;;;106.91;;;;
2017-08-15;106.91;106.91;106.91;106.91;70;7.484;
2017-08-14;;;109.64;;;;
2017-08-11;;;109.64;;;;
2017-08-10;109.64;109.64;109.64;109.64;100;10.964;
2017-08-09;108.56;107.32;108.56;107.96;205;22.133;
2017-08-08;;;103.79;;;;
2017-08-07;103.79;103.79;103.79;103.79;125;12.974;
2017-08-04;;;106.96;;;;
2017-08-03;;;106.96;;;;
2017-08-02;;;106.96;;;;
2017-08-01;;;106.96;;;;
2017-07-31;;;106.96;;;;
2017-07-28;;;106.96;;;;
2017-07-27;;;106.96;;;;
2017-07-26;;;106.96;;;;
2017-07-25;;;106.96;;;;
2017-07-24;;;106.96;;;;
2017-07-21;107.02;106.96;106.96;107.01;323;34.563;
2017-07-20;105.98;105.98;105.98;105.98;10;1.060;
2017-07-19;;;105.74;;;;
2017-07-18;;;105.74;;;;
2017-07-17;105.74;105.74;105.74;105.74;20;2.115;
2017-07-14;;;104.40;;;;
2017-07-13;104.40;104.40;104.40;104.40;10;1.044;
2017-07-12;104.40;104.40;104.40;104.40;100;10.440;
2017-07-11;102.87;102.70;102.70;102.75;239;24.558;
2017-07-10;;;108.60;;;;
2017-07-07;;;108.60;;;;
2017-07-06;;;108.60;;;;
2017-07-05;;;108.60;;;;
2017-07-04;;;108.60;;;;
2017-07-03;108.66;108.60;108.60;108.61;600;65.166;
2017-06-30;;;119.64;;;;
2017-06-29;;;119.64;;;;
2017-06-28;;;119.64;;;;
2017-06-27;;;119.64;;;;
2017-06-26;;;119.64;;;;
2017-06-22;;;119.64;;;;
2017-06-21;;;119.64;;;;
2017-06-20;;;119.64;;;;
2017-06-19;;;119.64;;;;
2017-06-16;;;119.64;;;;
2017-06-15;;;119.64;;;;
2017-06-14;;;119.64;;;;
2017-06-13;;;119.64;;;;
2017-06-12;;;119.64;;;;
2017-06-09;;;119.64;;;;
2017-06-08;;;119.64;;;;
2017-06-07;;;119.64;;;;
2017-06-05;;;119.64;;;;
2017-06-02;119.64;119.64;119.64;119.64;167;19.980;
2017-06-01;118.31;118.31;118.31;118.31;200;23.662;
2017-05-31;;;119.43;;;;
2017-05-30;;;119.43;;;;
2017-05-29;119.43;119.43;119.43;119.43;30;3.583;
2017-05-26;;;116.26;;;;
2017-05-24;;;116.26;;;;
2017-05-23;;;116.26;;;;
2017-05-22;;;116.26;;;;
2017-05-19;116.26;116.26;116.26;116.26;9;1.046;
2017-05-18;;;117.45;;;;
2017-05-17;117.45;117.30;117.45;117.45;465;54.612;
2017-05-16;;;115.03;;;;
2017-05-15;;;115.03;;;;
2017-05-12;115.03;115.03;115.03;115.03;10;1.150;
2017-05-11;114.36;114.27;114.36;114.32;19;2.172;
2017-05-10;113.81;113.81;113.81;113.81;9;1.024;
2017-05-09;114.16;113.73;113.73;113.74;518;58.918;
2017-05-08;114.48;114.48;114.48;114.48;9;1.030;
2017-05-05;113.61;113.61;113.61;113.61;9;1.022;
2017-05-04;115.61;113.78;113.78;115.43;1.278;147.519;
2017-05-03;117.24;117.00;117.00;117.13;19;2.225;
2017-05-02;118.70;118.70;118.70;118.70;1.000;118.700;
2017-04-28;121.50;121.50;121.50;121.50;5;608;
2017-04-27;121.73;121.73;121.73;121.73;60;7.304;
2017-04-26;122.50;122.00;122.50;122.12;47;5.740;
2017-04-25;125.00;124.68;124.68;124.71;89;11.099;
2017-04-24;125.50;125.50;125.50;125.50;10;1.255;
2017-04-21;128.40;128.40;128.40;128.40;150;19.260;
2017-04-20;;;132.60;;;;
2017-04-19;;;132.60;;;;
2017-04-18;;;132.60;;;;
2017-04-13;132.60;132.60;132.60;132.60;10;1.326;
2017-04-12;131.54;131.54;131.54;131.54;10;1.315;
2017-04-11;;;129.44;;;;
2017-04-10;129.66;129.44;129.44;129.61;40;5.184;
